"algorithm","fun","dimension","ert","precision","rank"
"Line Search - STEP",20,2,11034.62,0.001,35
"(1 2_m) CMA-ES",20,2,12352.92,0.001,36
"(1 2) CMA-ES",20,2,13655.64,0.001,37
"AMALGAM",20,2,13899.27,0.001,38
"POEMS",20,2,15375.4,0.001,39
"Simple GA",20,2,16304.87,0.001,40
"DASA",20,2,16425.47,0.001,41
"oPOEMS",20,2,17856.53,0.001,42
"(1 2^s) CMA-ES",20,2,18924.91,0.001,43
"(1 2_m^s) CMA-ES",20,2,19782.4,0.001,44
"nPOEMS",20,2,48419.6,0.001,45
"DEuniform",20,2,101132.4,0.001,46
"RCGA",20,2,122785.8,0.001,47
"DE-F-AUC",20,2,176159.9,0.001,48
"PM-AdapSS-DE",20,2,229522.7,0.001,49
"Cauchy-EDA",20,2,462639.3,0.001,50
"CMA-EGS",20,2,1353082,0.001,51
"RANDOMSEARCH",20,2,2113233,0.001,52
"SPSA",20,2,2802954,0.001,53
"MCS",20,2,367,1e-04,1
"MA-LS-CHAIN",20,2,807.7333,1e-04,2
"BFGS",20,2,989.8,1e-04,3
"Nelder-Doerr",20,2,1049.533,1e-04,4
"DIRECT",20,2,1211.8,1e-04,5
"AVGNEWUOA",20,2,1466.4,1e-04,6
"Local Search - Rosenbrock",20,2,1540.867,1e-04,7
"GLOBAL",20,2,1654,1e-04,8
"(1+2_m^s) CMA-ES",20,2,1821.733,1e-04,9
"(1+1) CMA-ES",20,2,1843.467,1e-04,10
"NEWUOA",20,2,2162.267,1e-04,11
"DE-PSO",20,2,2500.923,1e-04,12
"Artificial Bee Colony",20,2,2878.9,1e-04,13
"(1 4) CMA-ES",20,2,2901.133,1e-04,14
"G3PCX",20,2,2964.467,1e-04,15
"FULLNEWUOA",20,2,3036.214,1e-04,16
"NBC-CMA",20,2,3081.333,1e-04,17
"MOS",20,2,3084.533,1e-04,18
"(mu+lambda) CMA-ES",20,2,3174.286,1e-04,19
"One-Fifth Variant3",20,2,3385.133,1e-04,20
"VNS",20,2,3624.4,1e-04,21
"PSO",20,2,3795.8,1e-04,22
"BIPOP-CMA-ES",20,2,3996.2,1e-04,23
"(1 4^s) CMA-ES",20,2,4251.533,1e-04,24
"IPOP-ACTCMA-ES",20,2,4387.467,1e-04,25
"IPOP-CMA-ES",20,2,4695.333,1e-04,26
"(1 4_m) CMA-ES",20,2,4791.214,1e-04,27
"ALPS",20,2,5851.533,1e-04,28
"(1 4_m^s) CMA-ES",20,2,6310.857,1e-04,29
"IPOP-SEP-CMA-ES",20,2,6471.667,1e-04,30
"EDA-PSO",20,2,9213,1e-04,31
"PSO_Bounds",20,2,9291.667,1e-04,32
"iAMALGAM",20,2,9880.667,1e-04,33
"fminsearch",20,2,10202.53,1e-04,34
"(1 2_m) CMA-ES",20,2,12401.75,1e-04,35
"Line Search - STEP",20,2,13417,1e-04,36
"(1 2) CMA-ES",20,2,13743.45,1e-04,37
"AMALGAM",20,2,14019.13,1e-04,38
"DASA",20,2,16516.27,1e-04,39
"POEMS",20,2,16979.6,1e-04,40
"(1 2_m^s) CMA-ES",20,2,19823.6,1e-04,41
"oPOEMS",20,2,20029,1e-04,42
"(1 2^s) CMA-ES",20,2,20866.7,1e-04,43
"Simple GA",20,2,23973.67,1e-04,44
"nPOEMS",20,2,67902.2,1e-04,45
"DEuniform",20,2,101222.7,1e-04,46
"DE-F-AUC",20,2,176230.6,1e-04,47
"PM-AdapSS-DE",20,2,229573.4,1e-04,48
"RCGA",20,2,235315.8,1e-04,49
"Cauchy-EDA",20,2,729095,1e-04,50
"SPSA",20,2,2803584,1e-04,51
"RANDOMSEARCH",20,2,29966650,1e-04,52
"MCS",20,2,370.4,1e-05,1
"MA-LS-CHAIN",20,2,839.7333,1e-05,2
"BFGS",20,2,991.2,1e-05,3
"Nelder-Doerr",20,2,1058.267,1e-05,4
"DIRECT",20,2,1368.2,1e-05,5
"AVGNEWUOA",20,2,1469,1e-05,6
"Local Search - Rosenbrock",20,2,1548.6,1e-05,7
"GLOBAL",20,2,1661,1e-05,8
"(1+2_m^s) CMA-ES",20,2,1842.067,1e-05,9
"(1+1) CMA-ES",20,2,1870.867,1e-05,10
"NEWUOA",20,2,2164.133,1e-05,11
"(1 4) CMA-ES",20,2,2931.867,1e-05,12
"DE-PSO",20,2,2962.923,1e-05,13
"G3PCX",20,2,2996,1e-05,14
"FULLNEWUOA",20,2,3036.429,1e-05,15
"NBC-CMA",20,2,3140.333,1e-05,16
"(mu+lambda) CMA-ES",20,2,3197.071,1e-05,17
"MOS",20,2,3330.133,1e-05,18
"One-Fifth Variant3",20,2,3411.133,1e-05,19
"Artificial Bee Colony",20,2,3728.867,1e-05,20
"VNS",20,2,3874.667,1e-05,21
"BIPOP-CMA-ES",20,2,4058.933,1e-05,22
"(1 4^s) CMA-ES",20,2,4271.4,1e-05,23
"IPOP-ACTCMA-ES",20,2,4455.133,1e-05,24
"PSO",20,2,4510.533,1e-05,25
"(1 4_m) CMA-ES",20,2,4825.286,1e-05,26
"IPOP-CMA-ES",20,2,4827.467,1e-05,27
"(1 4_m^s) CMA-ES",20,2,6341.286,1e-05,28
"IPOP-SEP-CMA-ES",20,2,6558.4,1e-05,29
"ALPS",20,2,7236.8,1e-05,30
"EDA-PSO",20,2,9496.667,1e-05,31
"iAMALGAM",20,2,9920.667,1e-05,32
"fminsearch",20,2,10209.8,1e-05,33
"PSO_Bounds",20,2,11164.53,1e-05,34
"(1 2_m) CMA-ES",20,2,12451.58,1e-05,35
"(1 2) CMA-ES",20,2,13795.18,1e-05,36
"AMALGAM",20,2,14123.93,1e-05,37
"Line Search - STEP",20,2,14687.33,1e-05,38
"DASA",20,2,16652.07,1e-05,39
"POEMS",20,2,19360.53,1e-05,40
"(1 2_m^s) CMA-ES",20,2,19868,1e-05,41
"(1 2^s) CMA-ES",20,2,20931.6,1e-05,42
"oPOEMS",20,2,22697.33,1e-05,43
"Simple GA",20,2,31573.07,1e-05,44
"nPOEMS",20,2,84302.27,1e-05,45
"DEuniform",20,2,101310.6,1e-05,46
"DE-F-AUC",20,2,176272.2,1e-05,47
"PM-AdapSS-DE",20,2,229665,1e-05,48
"RCGA",20,2,314508,1e-05,49
"Cauchy-EDA",20,2,729158,1e-05,50
"MCS",20,2,370.4,1e-06,1
"MA-LS-CHAIN",20,2,877.4,1e-06,2
"BFGS",20,2,992.2,1e-06,3
"Nelder-Doerr",20,2,1065.267,1e-06,4
"DIRECT",20,2,1428.2,1e-06,5
"AVGNEWUOA",20,2,1471,1e-06,6
"Local Search - Rosenbrock",20,2,1561.2,1e-06,7
"GLOBAL",20,2,1669,1e-06,8
"(1+2_m^s) CMA-ES",20,2,1853.733,1e-06,9
"(1+1) CMA-ES",20,2,1896.067,1e-06,10
"NEWUOA",20,2,2166.267,1e-06,11
"(1 4) CMA-ES",20,2,2955.867,1e-06,12
"G3PCX",20,2,3028.733,1e-06,13
"FULLNEWUOA",20,2,3037.571,1e-06,14
"NBC-CMA",20,2,3209.533,1e-06,15
"(mu+lambda) CMA-ES",20,2,3215.786,1e-06,16
"DE-PSO",20,2,3277.385,1e-06,17
"One-Fifth Variant3",20,2,3439.933,1e-06,18
"MOS",20,2,3635.467,1e-06,19
"BIPOP-CMA-ES",20,2,4103.133,1e-06,20
"(1 4^s) CMA-ES",20,2,4295.133,1e-06,21
"VNS",20,2,4326.133,1e-06,22
"Artificial Bee Colony",20,2,4531.533,1e-06,23
"IPOP-ACTCMA-ES",20,2,4570.8,1e-06,24
"(1 4_m) CMA-ES",20,2,4855.071,1e-06,25
"IPOP-CMA-ES",20,2,4908.467,1e-06,26
"PSO",20,2,5136.2,1e-06,27
"(1 4_m^s) CMA-ES",20,2,6353.571,1e-06,28
"IPOP-SEP-CMA-ES",20,2,6676.133,1e-06,29
"ALPS",20,2,8672.533,1e-06,30
"EDA-PSO",20,2,9816.467,1e-06,31
"iAMALGAM",20,2,9988.267,1e-06,32
"fminsearch",20,2,10216.13,1e-06,33
"PSO_Bounds",20,2,12511.93,1e-06,34
"(1 2_m) CMA-ES",20,2,12518.25,1e-06,35
"(1 2) CMA-ES",20,2,13817.27,1e-06,36
"AMALGAM",20,2,14218.67,1e-06,37
"Line Search - STEP",20,2,16158.17,1e-06,38
"DASA",20,2,16769.67,1e-06,39
"(1 2_m^s) CMA-ES",20,2,19912.3,1e-06,40
"POEMS",20,2,20807.6,1e-06,41
"(1 2^s) CMA-ES",20,2,20984.5,1e-06,42
"oPOEMS",20,2,23756.53,1e-06,43
"Simple GA",20,2,40517.47,1e-06,44
"nPOEMS",20,2,96297.2,1e-06,45
"DEuniform",20,2,101381,1e-06,46
"DE-F-AUC",20,2,176385.4,1e-06,47
"PM-AdapSS-DE",20,2,229711,1e-06,48
"RCGA",20,2,442751,1e-06,49
"Cauchy-EDA",20,2,729249,1e-06,50
"MCS",20,2,375.2,1e-07,1
"MA-LS-CHAIN",20,2,902.8667,1e-07,2
"BFGS",20,2,993,1e-07,3
"Nelder-Doerr",20,2,1072.667,1e-07,4
"DIRECT",20,2,1470.4,1e-07,5
"AVGNEWUOA",20,2,1472.733,1e-07,6
"Local Search - Rosenbrock",20,2,1570.2,1e-07,7
"GLOBAL",20,2,1675.727,1e-07,8
"(1+2_m^s) CMA-ES",20,2,1882,1e-07,9
"(1+1) CMA-ES",20,2,1920.6,1e-07,10
"NEWUOA",20,2,2168.067,1e-07,11
"(1 4) CMA-ES",20,2,2980.733,1e-07,12
"FULLNEWUOA",20,2,3037.857,1e-07,13
"G3PCX",20,2,3075.533,1e-07,14
"(mu+lambda) CMA-ES",20,2,3236.143,1e-07,15
"NBC-CMA",20,2,3282.867,1e-07,16
"DE-PSO",20,2,3444.769,1e-07,17
"One-Fifth Variant3",20,2,3458.133,1e-07,18
"BIPOP-CMA-ES",20,2,4182.733,1e-07,19
"(1 4^s) CMA-ES",20,2,4316.6,1e-07,20
"MOS",20,2,4380.8,1e-07,21
"IPOP-ACTCMA-ES",20,2,4628.267,1e-07,22
"VNS",20,2,4751.6,1e-07,23
"(1 4_m) CMA-ES",20,2,4874.643,1e-07,24
"IPOP-CMA-ES",20,2,4972.867,1e-07,25
"PSO",20,2,5800.067,1e-07,26
"Artificial Bee Colony",20,2,6142.5,1e-07,27
"(1 4_m^s) CMA-ES",20,2,6364.857,1e-07,28
"IPOP-SEP-CMA-ES",20,2,6820.067,1e-07,29
"ALPS",20,2,9848.267,1e-07,30
"EDA-PSO",20,2,10043.53,1e-07,31
"iAMALGAM",20,2,10055,1e-07,32
"fminsearch",20,2,10224,1e-07,33
"(1 2_m) CMA-ES",20,2,12547.25,1e-07,34
"PSO_Bounds",20,2,13630.87,1e-07,35
"(1 2) CMA-ES",20,2,13858.45,1e-07,36
"AMALGAM",20,2,14286.4,1e-07,37
"DASA",20,2,16909.6,1e-07,38
"Line Search - STEP",20,2,18929.64,1e-07,39
"(1 2_m^s) CMA-ES",20,2,19943.4,1e-07,40
"(1 2^s) CMA-ES",20,2,21015.1,1e-07,41
"POEMS",20,2,23014.53,1e-07,42
"oPOEMS",20,2,25577.2,1e-07,43
"Simple GA",20,2,47341.07,1e-07,44
"DEuniform",20,2,101444.7,1e-07,45
"nPOEMS",20,2,112781.5,1e-07,46
"DE-F-AUC",20,2,176475.5,1e-07,47
"PM-AdapSS-DE",20,2,229780.1,1e-07,48
"RCGA",20,2,443430.3,1e-07,49
"Cauchy-EDA",20,2,729325,1e-07,50
"MCS",20,2,376,1e-08,1
"MA-LS-CHAIN",20,2,971.4667,1e-08,2
"BFGS",20,2,994.4,1e-08,3
"Nelder-Doerr",20,2,1079.733,1e-08,4
"AVGNEWUOA",20,2,1474.8,1e-08,5
"Local Search - Rosenbrock",20,2,1576.667,1e-08,6
"DIRECT",20,2,1753.8,1e-08,7
"(1+2_m^s) CMA-ES",20,2,1901.2,1e-08,8
"(1+1) CMA-ES",20,2,1937.867,1e-08,9
"GLOBAL",20,2,2069.2,1e-08,10
"NEWUOA",20,2,2170.133,1e-08,11
"(1 4) CMA-ES",20,2,3013.8,1e-08,12
"FULLNEWUOA",20,2,3042.857,1e-08,13
"G3PCX",20,2,3136.933,1e-08,14
"(mu+lambda) CMA-ES",20,2,3261.143,1e-08,15
"NBC-CMA",20,2,3347.067,1e-08,16
"One-Fifth Variant3",20,2,3485.133,1e-08,17
"DE-PSO",20,2,3546.154,1e-08,18
"BIPOP-CMA-ES",20,2,4234.4,1e-08,19
"(1 4^s) CMA-ES",20,2,4342.067,1e-08,20
"MOS",20,2,4524.6,1e-08,21
"IPOP-ACTCMA-ES",20,2,4697.333,1e-08,22
"(1 4_m) CMA-ES",20,2,4904.786,1e-08,23
"IPOP-CMA-ES",20,2,5057.067,1e-08,24
"VNS",20,2,6257.2,1e-08,25
"PSO",20,2,6316,1e-08,26
"(1 4_m^s) CMA-ES",20,2,6389.643,1e-08,27
"Artificial Bee Colony",20,2,6765.667,1e-08,28
"IPOP-SEP-CMA-ES",20,2,6926.333,1e-08,29
"iAMALGAM",20,2,10109.47,1e-08,30
"fminsearch",20,2,10231.13,1e-08,31
"EDA-PSO",20,2,10378.27,1e-08,32
"ALPS",20,2,11562.73,1e-08,33
"(1 2_m) CMA-ES",20,2,12615.67,1e-08,34
"(1 2) CMA-ES",20,2,13899.73,1e-08,35
"AMALGAM",20,2,14399.67,1e-08,36
"PSO_Bounds",20,2,14919.73,1e-08,37
"DASA",20,2,17063.6,1e-08,38
"(1 2_m^s) CMA-ES",20,2,19982.2,1e-08,39
"Line Search - STEP",20,2,20167.64,1e-08,40
"(1 2^s) CMA-ES",20,2,21054.1,1e-08,41
"POEMS",20,2,25232.93,1e-08,42
"oPOEMS",20,2,28748.2,1e-08,43
"Simple GA",20,2,61971.2,1e-08,44
"DEuniform",20,2,101527,1e-08,45
"nPOEMS",20,2,129458.9,1e-08,46
"DE-F-AUC",20,2,176553.5,1e-08,47
"PM-AdapSS-DE",20,2,229875.1,1e-08,48
"RCGA",20,2,444027.7,1e-08,49
"Cauchy-EDA",20,2,729352.5,1e-08,50
"MA-LS-CHAIN",20,3,2480.6,0.001,1
"MCS",20,3,8063.2,0.001,2
"NEWUOA",20,3,8856.75,0.001,3
"Artificial Bee Colony",20,3,9110.2,0.001,4
"MOS",20,3,11879.47,0.001,5
"DE-PSO",20,3,11897.5,0.001,6
"EDA-PSO",20,3,12617.47,0.001,7
"VNS",20,3,12669.47,0.001,8
"BFGS",20,3,12723,0.001,9
"ALPS",20,3,13086,0.001,10
"IPOP-SEP-CMA-ES",20,3,13463.13,0.001,11
"IPOP-CMA-ES",20,3,13982.93,0.001,12
"IPOP-ACTCMA-ES",20,3,14581.67,0.001,13
"FULLNEWUOA",20,3,20858.12,0.001,14
"(1+2_m^s) CMA-ES",20,3,21184.73,0.001,15
"DIRECT",20,3,21213.4,0.001,16
"(mu+lambda) CMA-ES",20,3,21825.91,0.001,17
"One-Fifth Variant3",20,3,21910,0.001,18
"AVGNEWUOA",20,3,22772.29,0.001,19
"Local Search - Rosenbrock",20,3,22859.1,0.001,20
"(1+1) CMA-ES",20,3,23479.6,0.001,21
"Nelder-Doerr",20,3,24053.85,0.001,22
"BIPOP-CMA-ES",20,3,25112.4,0.001,23
"(1 4) CMA-ES",20,3,25255,0.001,24
"NBC-CMA",20,3,29812.67,0.001,25
"Simple GA",20,3,34609.07,0.001,26
"(1 4_m) CMA-ES",20,3,40686.12,0.001,27
"GLOBAL",20,3,41415,0.001,28
"(1 2) CMA-ES",20,3,42158.43,0.001,29
"iAMALGAM",20,3,44373,0.001,30
"(1 4^s) CMA-ES",20,3,47978.43,0.001,31
"PM-AdapSS-DE",20,3,49025.31,0.001,32
"G3PCX",20,3,51553.69,0.001,33
"PSO",20,3,52777.77,0.001,34
"fminsearch",20,3,58155.33,0.001,35
"AMALGAM",20,3,61568.93,0.001,36
"(1 2^s) CMA-ES",20,3,77175.4,0.001,37
"DEuniform",20,3,78163,0.001,38
"DE-F-AUC",20,3,78386.75,0.001,39
"nPOEMS",20,3,88611.73,0.001,40
"(1 2_m) CMA-ES",20,3,93170.25,0.001,41
"DASA",20,3,98328.6,0.001,42
"(1 4_m^s) CMA-ES",20,3,123998,0.001,43
"POEMS",20,3,155531.4,0.001,44
"PSO_Bounds",20,3,188568.4,0.001,45
"(1 2_m^s) CMA-ES",20,3,208944.5,0.001,46
"oPOEMS",20,3,341583.3,0.001,47
"Line Search - STEP",20,3,424869,0.001,48
"RCGA",20,3,2200571,0.001,49
"MA-LS-CHAIN",20,3,2524.533,1e-04,1
"MCS",20,3,8065.8,1e-04,2
"NEWUOA",20,3,8863.75,1e-04,3
"DE-PSO",20,3,12347,1e-04,4
"MOS",20,3,12355.73,1e-04,5
"BFGS",20,3,12726,1e-04,6
"VNS",20,3,12791.67,1e-04,7
"EDA-PSO",20,3,13337.27,1e-04,8
"IPOP-SEP-CMA-ES",20,3,13798.2,1e-04,9
"IPOP-CMA-ES",20,3,14352.53,1e-04,10
"IPOP-ACTCMA-ES",20,3,14798.2,1e-04,11
"Artificial Bee Colony",20,3,15266.07,1e-04,12
"ALPS",20,3,15667.47,1e-04,13
"FULLNEWUOA",20,3,20863.12,1e-04,14
"(1+2_m^s) CMA-ES",20,3,21218.27,1e-04,15
"DIRECT",20,3,21447.8,1e-04,16
"(mu+lambda) CMA-ES",20,3,21862.09,1e-04,17
"One-Fifth Variant3",20,3,21936.6,1e-04,18
"AVGNEWUOA",20,3,22775.86,1e-04,19
"Local Search - Rosenbrock",20,3,22871,1e-04,20
"(1+1) CMA-ES",20,3,23508.9,1e-04,21
"Nelder-Doerr",20,3,24065.08,1e-04,22
"(1 4) CMA-ES",20,3,25286.73,1e-04,23
"BIPOP-CMA-ES",20,3,25430.8,1e-04,24
"NBC-CMA",20,3,29956.47,1e-04,25
"(1 4_m) CMA-ES",20,3,40721.88,1e-04,26
"GLOBAL",20,3,41426,1e-04,27
"(1 2) CMA-ES",20,3,42246.29,1e-04,28
"Simple GA",20,3,42974.2,1e-04,29
"iAMALGAM",20,3,44689.53,1e-04,30
"(1 4^s) CMA-ES",20,3,48006.86,1e-04,31
"PM-AdapSS-DE",20,3,49209.54,1e-04,32
"G3PCX",20,3,51605.92,1e-04,33
"PSO",20,3,53479.46,1e-04,34
"fminsearch",20,3,58169.07,1e-04,35
"AMALGAM",20,3,61979.27,1e-04,36
"(1 2^s) CMA-ES",20,3,77243,1e-04,37
"DEuniform",20,3,78338.42,1e-04,38
"DE-F-AUC",20,3,78539.67,1e-04,39
"(1 2_m) CMA-ES",20,3,93244.5,1e-04,40
"DASA",20,3,98542.4,1e-04,41
"nPOEMS",20,3,111364.4,1e-04,42
"(1 4_m^s) CMA-ES",20,3,124056.3,1e-04,43
"POEMS",20,3,174259.3,1e-04,44
"(1 2_m^s) CMA-ES",20,3,209038,1e-04,45
"PSO_Bounds",20,3,214384,1e-04,46
"oPOEMS",20,3,344749.9,1e-04,47
"Line Search - STEP",20,3,426870,1e-04,48
"MA-LS-CHAIN",20,3,2572.933,1e-05,1
"MCS",20,3,8071.6,1e-05,2
"NEWUOA",20,3,8869.167,1e-05,3
"DE-PSO",20,3,12432.5,1e-05,4
"BFGS",20,3,12727.5,1e-05,5
"MOS",20,3,13063.6,1e-05,6
"VNS",20,3,13394,1e-05,7
"IPOP-SEP-CMA-ES",20,3,14019.27,1e-05,8
"EDA-PSO",20,3,14535.53,1e-05,9
"IPOP-CMA-ES",20,3,14539.93,1e-05,10
"IPOP-ACTCMA-ES",20,3,15056.8,1e-05,11
"Artificial Bee Colony",20,3,17780.47,1e-05,12
"ALPS",20,3,18589.6,1e-05,13
"FULLNEWUOA",20,3,20865.62,1e-05,14
"(1+2_m^s) CMA-ES",20,3,21246.27,1e-05,15
"(mu+lambda) CMA-ES",20,3,21887.73,1e-05,16
"One-Fifth Variant3",20,3,21961.73,1e-05,17
"DIRECT",20,3,21977.4,1e-05,18
"AVGNEWUOA",20,3,22778,1e-05,19
"Local Search - Rosenbrock",20,3,22886.6,1e-05,20
"(1+1) CMA-ES",20,3,23530.7,1e-05,21
"Nelder-Doerr",20,3,24077.46,1e-05,22
"(1 4) CMA-ES",20,3,25334.45,1e-05,23
"BIPOP-CMA-ES",20,3,25701.87,1e-05,24
"NBC-CMA",20,3,30073.53,1e-05,25
"(1 4_m) CMA-ES",20,3,40749.75,1e-05,26
"GLOBAL",20,3,41439,1e-05,27
"(1 2) CMA-ES",20,3,42344.43,1e-05,28
"iAMALGAM",20,3,44955.8,1e-05,29
"(1 4^s) CMA-ES",20,3,48042.14,1e-05,30
"PM-AdapSS-DE",20,3,49502.15,1e-05,31
"G3PCX",20,3,51636.62,1e-05,32
"PSO",20,3,54328.08,1e-05,33
"Simple GA",20,3,54700.8,1e-05,34
"fminsearch",20,3,58182.27,1e-05,35
"AMALGAM",20,3,62277.73,1e-05,36
"(1 2^s) CMA-ES",20,3,77325.4,1e-05,37
"DEuniform",20,3,78491.5,1e-05,38
"DE-F-AUC",20,3,78728.33,1e-05,39
"(1 2_m) CMA-ES",20,3,93271,1e-05,40
"DASA",20,3,98694.27,1e-05,41
"(1 4_m^s) CMA-ES",20,3,124089.7,1e-05,42
"nPOEMS",20,3,135012.8,1e-05,43
"POEMS",20,3,176748.7,1e-05,44
"(1 2_m^s) CMA-ES",20,3,209105.5,1e-05,45
"PSO_Bounds",20,3,215764.1,1e-05,46
"oPOEMS",20,3,347009.4,1e-05,47
"Line Search - STEP",20,3,427672,1e-05,48
"MA-LS-CHAIN",20,3,2632.6,1e-06,1
"MCS",20,3,8075.6,1e-06,2
"NEWUOA",20,3,8873.5,1e-06,3
"BFGS",20,3,12728.5,1e-06,4
"DE-PSO",20,3,12870.5,1e-06,5
"IPOP-SEP-CMA-ES",20,3,14266.27,1e-06,6
"VNS",20,3,14676.6,1e-06,7
"IPOP-CMA-ES",20,3,14794,1e-06,8
"IPOP-ACTCMA-ES",20,3,15252.2,1e-06,9
"EDA-PSO",20,3,15841,1e-06,10
"MOS",20,3,16280.8,1e-06,11
"ALPS",20,3,20540.47,1e-06,12
"FULLNEWUOA",20,3,20866.12,1e-06,13
"(1+2_m^s) CMA-ES",20,3,21274.82,1e-06,14
"(mu+lambda) CMA-ES",20,3,21916.91,1e-06,15
"One-Fifth Variant3",20,3,22000.67,1e-06,16
"Artificial Bee Colony",20,3,22296.53,1e-06,17
"DIRECT",20,3,22361.6,1e-06,18
"AVGNEWUOA",20,3,22782.57,1e-06,19
"Local Search - Rosenbrock",20,3,22899,1e-06,20
"(1+1) CMA-ES",20,3,23555,1e-06,21
"Nelder-Doerr",20,3,24089.46,1e-06,22
"(1 4) CMA-ES",20,3,25374.73,1e-06,23
"BIPOP-CMA-ES",20,3,25980.2,1e-06,24
"NBC-CMA",20,3,30164.07,1e-06,25
"(1 4_m) CMA-ES",20,3,40791.12,1e-06,26
"GLOBAL",20,3,41453,1e-06,27
"(1 2) CMA-ES",20,3,42399.43,1e-06,28
"iAMALGAM",20,3,45202.47,1e-06,29
"(1 4^s) CMA-ES",20,3,48074,1e-06,30
"PM-AdapSS-DE",20,3,49650.23,1e-06,31
"G3PCX",20,3,51690.54,1e-06,32
"PSO",20,3,54889.77,1e-06,33
"fminsearch",20,3,58194.13,1e-06,34
"AMALGAM",20,3,62546.33,1e-06,35
"Simple GA",20,3,65038.8,1e-06,36
"(1 2^s) CMA-ES",20,3,77399.6,1e-06,37
"DEuniform",20,3,78688.67,1e-06,38
"DE-F-AUC",20,3,78875.17,1e-06,39
"(1 2_m) CMA-ES",20,3,93330.5,1e-06,40
"DASA",20,3,98900.8,1e-06,41
"(1 4_m^s) CMA-ES",20,3,124109,1e-06,42
"nPOEMS",20,3,155794.2,1e-06,43
"POEMS",20,3,180951.8,1e-06,44
"(1 2_m^s) CMA-ES",20,3,209188.5,1e-06,45
"PSO_Bounds",20,3,217617.3,1e-06,46
"oPOEMS",20,3,351116.9,1e-06,47
"Line Search - STEP",20,3,428884,1e-06,48
"MA-LS-CHAIN",20,3,2776,1e-07,1
"MCS",20,3,8078.8,1e-07,2
"NEWUOA",20,3,8878.333,1e-07,3
"BFGS",20,3,12730.5,1e-07,4
"DE-PSO",20,3,12922.5,1e-07,5
"IPOP-SEP-CMA-ES",20,3,14480.8,1e-07,6
"IPOP-CMA-ES",20,3,15015.73,1e-07,7
"IPOP-ACTCMA-ES",20,3,15546.33,1e-07,8
"VNS",20,3,15972.07,1e-07,9
"EDA-PSO",20,3,16818.53,1e-07,10
"FULLNEWUOA",20,3,20866.12,1e-07,11
"(1+2_m^s) CMA-ES",20,3,21309.55,1e-07,12
"MOS",20,3,21573.87,1e-07,13
"(mu+lambda) CMA-ES",20,3,21941.73,1e-07,14
"One-Fifth Variant3",20,3,22027.4,1e-07,15
"DIRECT",20,3,22579.6,1e-07,16
"AVGNEWUOA",20,3,22785,1e-07,17
"ALPS",20,3,22792,1e-07,18
"Local Search - Rosenbrock",20,3,22914.6,1e-07,19
"(1+1) CMA-ES",20,3,23580.3,1e-07,20
"Nelder-Doerr",20,3,24156.69,1e-07,21
"(1 4) CMA-ES",20,3,25418.09,1e-07,22
"Artificial Bee Colony",20,3,25678.67,1e-07,23
"BIPOP-CMA-ES",20,3,26246,1e-07,24
"NBC-CMA",20,3,30250.87,1e-07,25
"(1 4_m) CMA-ES",20,3,40835,1e-07,26
"GLOBAL",20,3,41463,1e-07,27
"(1 2) CMA-ES",20,3,42456,1e-07,28
"iAMALGAM",20,3,45510.47,1e-07,29
"(1 4^s) CMA-ES",20,3,48106.71,1e-07,30
"PM-AdapSS-DE",20,3,49809.69,1e-07,31
"G3PCX",20,3,51739,1e-07,32
"PSO",20,3,55736.15,1e-07,33
"fminsearch",20,3,58207.13,1e-07,34
"AMALGAM",20,3,62920.2,1e-07,35
"(1 2^s) CMA-ES",20,3,77456.4,1e-07,36
"DEuniform",20,3,78855.5,1e-07,37
"DE-F-AUC",20,3,79070.08,1e-07,38
"Simple GA",20,3,81439.8,1e-07,39
"(1 2_m) CMA-ES",20,3,93412.75,1e-07,40
"DASA",20,3,99113.93,1e-07,41
"(1 4_m^s) CMA-ES",20,3,124136.3,1e-07,42
"nPOEMS",20,3,177925.1,1e-07,43
"POEMS",20,3,183292.2,1e-07,44
"(1 2_m^s) CMA-ES",20,3,209206.5,1e-07,45
"PSO_Bounds",20,3,222698.8,1e-07,46
"oPOEMS",20,3,353976.1,1e-07,47
"Line Search - STEP",20,3,430882,1e-07,48
"MA-LS-CHAIN",20,3,2896.6,1e-08,1
"MCS",20,3,8081,1e-08,2
"NEWUOA",20,3,8881.75,1e-08,3
"BFGS",20,3,12732,1e-08,4
"DE-PSO",20,3,13167,1e-08,5
"IPOP-SEP-CMA-ES",20,3,14706.8,1e-08,6
"IPOP-CMA-ES",20,3,15289.27,1e-08,7
"IPOP-ACTCMA-ES",20,3,15760.27,1e-08,8
"EDA-PSO",20,3,18361.4,1e-08,9
"FULLNEWUOA",20,3,20869.5,1e-08,10
"(1+2_m^s) CMA-ES",20,3,21334.64,1e-08,11
"(mu+lambda) CMA-ES",20,3,21974.09,1e-08,12
"One-Fifth Variant3",20,3,22057.33,1e-08,13
"AVGNEWUOA",20,3,22787.71,1e-08,14
"Local Search - Rosenbrock",20,3,22926.3,1e-08,15
"VNS",20,3,23047.8,1e-08,16
"(1+1) CMA-ES",20,3,23602.1,1e-08,17
"DIRECT",20,3,23893.2,1e-08,18
"MOS",20,3,23911.73,1e-08,19
"Nelder-Doerr",20,3,24238.38,1e-08,20
"ALPS",20,3,24530.4,1e-08,21
"(1 4) CMA-ES",20,3,25467.27,1e-08,22
"BIPOP-CMA-ES",20,3,26503.4,1e-08,23
"Artificial Bee Colony",20,3,28913.6,1e-08,24
